#SampleID	SAMPLING_cruise	depth	library	libraryID	locus	original_name	samp_collection_device	sample_type.x	sample_type.y	CTD_or_ESP	ESP_CTD	ESP_CTD_ID	matching_ID	depth_cat	shallow_deep
CN18FESPkoa_SC41_FF	CN18F	23.25099	FF20	FF	COI	CN18FESPkoa_SC41	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP11	CN18F11	0-25	shallow
CN18FESPkoa_SC43_FF	CN18F	32.40881	FF18	FF	COI	CN18FESPkoa_SC43	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP12	CN18F12	27-50	shallow
CN18FESPkoa_SC44_FF	CN18F	34.72139	FF17	FF	COI	CN18FESPkoa_SC44	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP13	CN18F13	27-50	shallow
CN18FESPkoa_SC46_FF	CN18F	36.81464	FF15	FF	COI	CN18FESPkoa_SC46	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP14	CN18F14	27-50	shallow
CN18FESPkoa_SC47_FF	CN18F	31.69745	FF14	FF	COI	CN18FESPkoa_SC47	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP15	CN18F15	27-50	shallow
CN18FESPkoa_SC49_FF	CN18F	44.79719	FF12	FF	COI	CN18FESPkoa_SC49	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP16	CN18F16	27-50	shallow
CN18FESPkoa_SC52_FF	CN18F	25.30529	FF9	FF	COI	CN18FESPkoa_SC52	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP17	CN18F17	0-25	shallow
CN18FESPkoa_SC53_FF	CN18F	34.44149	FF8	FF	COI	CN18FESPkoa_SC53	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP18	CN18F18	27-50	shallow
CN18FESPkoa_SC55_FF	CN18F	39.02684	FF6	FF	COI	CN18FESPkoa_SC55	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP19	CN18F19	27-50	shallow
CN18FESPkoa_SC56_FF	CN18F	39.844	FF5	FF	COI	CN18FESPkoa_SC56	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP20	CN18F20	27-50	shallow
CN18FESPkoa_SC57_FF	CN18F	35.21757	FF4	FF	COI	CN18FESPkoa_SC57	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP21	CN18F21	27-50	shallow
CN18FESPkoa_SC58_FF	CN18F	30.91903	FF3	FF	COI	CN18FESPkoa_SC58	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP22	CN18F22	27-50	shallow
CN18Fc12_8_eDNA_GG	CN18F	30	GG1	GG	COI	CN18Fc12_8_eDNA		environmental	environmental	CTD	CTD_Sample	CTD22	CN18F22	27-50	shallow
CN18Fc19_5_eDNA_GG	CN18F	40	GG2	GG	COI	CN18Fc19_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD21	CN18F21	27-50	shallow
CN18Fc21_6_eDNA_GG	CN18F	25	GG3	GG	COI	CN18Fc21_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD20	CN18F20	0-25	shallow
CN18Fc22_6_eDNA_GG	CN18F	35	GG4	GG	COI	CN18Fc22_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD19	CN18F19	27-50	shallow
CN18Fc24_6_eDNA_GG	CN18F	25	GG5	GG	COI	CN18Fc24_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD18	CN18F18	0-25	shallow
CN18Fc25_5_eDNA_GG	CN18F	30	GG6	GG	COI	CN18Fc25_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD17	CN18F17	27-50	shallow
CN18Fc27_4_eDNA_GG	CN18F	45	GG7	GG	COI	CN18Fc27_4_eDNA		environmental	environmental	CTD	CTD_Sample	CTD16	CN18F16	27-50	shallow
CN18Fc29_6_eDNA_GG	CN18F	30	GG8	GG	COI	CN18Fc29_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD15	CN18F15	27-50	shallow
CN18Fc30_4_eDNA_GG	CN18F	40	GG9	GG	COI	CN18Fc30_4_eDNA		environmental	environmental	CTD	CTD_Sample	CTD14	CN18F14	27-50	shallow
CN18Fc32_4_eDNA_GG	CN18F	40	GG10	GG	COI	CN18Fc32_4_eDNA		environmental	environmental	CTD	CTD_Sample	CTD13	CN18F13	27-50	shallow
CN18Fc33_5_eDNA_GG	CN18F	35	GG11	GG	COI	CN18Fc33_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD12	CN18F12	27-50	shallow
CN18Fc35_5_eDNA_GG	CN18F	30	GG12	GG	COI	CN18Fc35_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD11	CN18F11	27-50	shallow
CN18Fc36_6_eDNA_GG	CN18F	20	GG13	GG	COI	CN18Fc36_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD10	CN18F10	0-25	shallow
CN18Fc38_5_eDNA_GG	CN18F	30	GG14	GG	COI	CN18Fc38_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD9	CN18F9	27-50	shallow
CN18Fc40_6_eDNA_GG	CN18F	25	GG15	GG	COI	CN18Fc40_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD8	CN18F8	0-25	shallow
CN18Fc41_6_eDNA_GG	CN18F	25	GG16	GG	COI	CN18Fc41_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD7	CN18F7	0-25	shallow
CN18Fc43_5_eDNA_GG	CN18F	30	GG17	GG	COI	CN18Fc43_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD6	CN18F6	27-50	shallow
CN18Fc44_8_eDNA_GG	CN18F	20	GG18	GG	COI	CN18Fc44_8_eDNA		environmental	environmental	CTD	CTD_Sample	CTD5	CN18F5	0-25	shallow
CN18Fc46_8_eDNA_GG	CN18F	10	GG19	GG	COI	CN18Fc46_8_eDNA		environmental	environmental	CTD	CTD_Sample	CTD4	CN18F4	0-25	shallow
CN18Fc47_6_eDNA_GG	CN18F	25	GG20	GG	COI	CN18Fc47_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD3	CN18F3	0-25	shallow
CN18Fc49_6_eDNA_GG	CN18F	25	GG21	GG	COI	CN18Fc49_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD2	CN18F2	0-25	shallow
CN18Fc51_5_eDNA_GG	CN18F	35	GG22	GG	COI	CN18Fc51_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD1	CN18F1	27-50	shallow
CN18SESPkoa_SC36_Y	CN18S	29.96195	Y80	Y	COI	CN18SESPkoa_SC36	3G_ESP	environmental	environmental	ESP		ESP1	CN18S1	27-50	shallow
CN18SESPkoa_SC37_Y	CN18S	200.00871	Y79	Y	COI	CN18SESPkoa_SC37	3G_ESP	environmental	environmental	ESP		ESP2	CN18S2	195-200	deep
CN18SESPkoa_SC39_Y	CN18S	29.99481	Y78	Y	COI	CN18SESPkoa_SC39	3G_ESP	environmental	environmental	ESP		ESP3	CN18S3	27-50	shallow
CN18SESPkoa_SC40_Y	CN18S	200.00253	Y77	Y	COI	CN18SESPkoa_SC40	3G_ESP	environmental	environmental	ESP		ESP4	CN18S4	195-200	deep
CN18SESPkoa_SC41_Y	CN18S	29.97453	Y76	Y	COI	CN18SESPkoa_SC41	3G_ESP	environmental	environmental	ESP		ESP5	CN18S5	27-50	shallow
CN18SESPkoa_SC42_Y	CN18S	200.00349	Y75	Y	COI	CN18SESPkoa_SC42	3G_ESP	environmental	environmental	ESP		ESP6	CN18S6	195-200	deep
CN18SESPkoa_SC44_Y	CN18S	30.00031	Y74	Y	COI	CN18SESPkoa_SC44	3G_ESP	environmental	environmental	ESP		ESP7	CN18S7	27-50	shallow
CN18SESPkoa_SC45_Y	CN18S	199.99646	Y73	Y	COI	CN18SESPkoa_SC45	3G_ESP	environmental	environmental	ESP		ESP8	CN18S8	195-200	deep
CN18SESPkoa_SC47_Y	CN18S	200.00844	Y72	Y	COI	CN18SESPkoa_SC47	3G_ESP	environmental	environmental	ESP		ESP9	CN18S9	195-200	deep
CN18SESPkoa_SC49_Y	CN18S	200.00501	Y71	Y	COI	CN18SESPkoa_SC49	3G_ESP	environmental	environmental	ESP		ESP10	CN18S10	195-200	deep
CN18Sc09_2_eDNA_Y	CN18S	200	Y1	Y	COI	CN18Sc09_2_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD10	CN18S10	195-200	deep
CN18Sc10_2_eDNA_Y	CN18S	200	Y3	Y	COI	CN18Sc10_2_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD9	CN18S9	195-200	deep
CN18Sc14_2_eDNA_Y	CN18S	195	Y15	Y	COI	CN18Sc14_2_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD8	CN18S8	195-200	deep
CN18Sc14_8_eDNA_Y	CN18S	30	Y18	Y	COI	CN18Sc14_8_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD7	CN18S7	27-50	shallow
CN18Sc15_2_eDNA_Y	CN18S	195	Y21	Y	COI	CN18Sc15_2_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD6	CN18S6	195-200	deep
CN18Sc15_8_eDNA_Y	CN18S	30	Y24	Y	COI	CN18Sc15_8_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD5	CN18S5	27-50	shallow
CN18Sc18_2_eDNA_Y	CN18S	200	Y34	Y	COI	CN18Sc18_2_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD4	CN18S4	195-200	deep
CN18Sc18_8_eDNA_Y	CN18S	30	Y35	Y	COI	CN18Sc18_8_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD3	CN18S3	27-50	shallow
CN18Sc27_2_eDNA_Y	CN18S	200	Y38	Y	COI	CN18Sc27_2_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD2	CN18S2	195-200	deep
CN18Sc27_8_eDNA_Y	CN18S	30	Y39	Y	COI	CN18Sc27_8_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD1	CN18S1	27-50	shallow
