"","ASV","total_reads","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"899","ASV_3019",2139,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","g_","s_"
"23","ASV_128",2130,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"1188","ASV_4051",2013,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","Amoebophrya sp. ex Ceratium tripos"
"60","ASV_301",1933,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Duboscquellidae","Duboscquella","unassigned"
"25","ASV_132",1924,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","unassigned","unassigned","unassigned"
"33","ASV_167",1917,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Kareniaceae","g_","s_"
"139","ASV_555",1894,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"6","ASV_59",1733,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","unassigned","unassigned","unassigned"
"1216","ASV_4113",1684,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","unassigned","unassigned","unassigned"
"39","ASV_209",1675,"Eukaryota","Dinoflagellata","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Adenoides","Adenoides eludens"
"117","ASV_501",1578,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","unassigned"
"456","ASV_1647",1552,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniaceae","g_","s_"
"24","ASV_131",1527,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Kareniaceae","Karlodinium","unassigned"
"1224","ASV_4137",1479,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"5","ASV_57",1461,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","unassigned","unassigned","unassigned"
"166","ASV_635",1443,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Eudubosquellidae","g_","s_"
"745","ASV_2571",1378,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"249","ASV_927",1341,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"1191","ASV_4056",1261,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","s_"
"38","ASV_208",1235,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"49","ASV_266",1213,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"154","ASV_594",1193,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Warnowiaceae","Warnowia","unassigned"
"548","ASV_1963",1155,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","s_"
"817","ASV_2797",1106,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Duboscquellidae","g_","s_"
"302","ASV_1129",1089,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"7","ASV_61",1084,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","unassigned","unassigned","unassigned"
"651","ASV_2258",1056,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","s_"
"1203","ASV_4076",1035,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","s_"
"36","ASV_203",1015,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","unassigned"
"238","ASV_895",996,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","unassigned","g_","s_"
"28","ASV_143",991,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","unassigned","g_","s_"
"207","ASV_785",973,"Eukaryota","Dinoflagellata","Dinophyceae","Gonyaulacales","Ceratiaceae","Tripos","Tripos tenuis"
"785","ASV_2686",965,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"32","ASV_165",962,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","unassigned","unassigned","unassigned"
"43","ASV_229",962,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","s_"
"58","ASV_291",961,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Podolampaceae","Lessardia","Lessardia elongata"
"63","ASV_310",960,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","s_"
"2276","ASV_7600",951,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","Protoperidinium crassipes"
"1186","ASV_4049",934,"Eukaryota","Dinoflagellata","Dinophyceae","Gonyaulacales","Ceratiaceae","Tripos","Tripos tenuis"
"379","ASV_1380",927,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniaceae","Pentapharsodinium","Pentapharsodinium tyrrhenicum"
"1221","ASV_4126",922,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"141","ASV_562",902,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"158","ASV_612",878,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Kareniaceae","Karlodinium","Karlodinium veneficum"
"4","ASV_40",852,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium rubrum"
"1240","ASV_4179",844,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"789","ASV_2699",842,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniaceae","Pentapharsodinium","Pentapharsodinium tyrrhenicum"
"624","ASV_2183",828,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Kareniaceae","Karlodinium","unassigned"
"15","ASV_93",815,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","unassigned","unassigned","unassigned"
"78","ASV_363",811,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","s_"
"56","ASV_280",802,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Duboscquellidae","Duboscquella","unassigned"
"113","ASV_490",781,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"239","ASV_896",769,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","unassigned","unassigned","unassigned"
"406","ASV_1488",763,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"159","ASV_618",741,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","unassigned","g_","s_"
"345","ASV_1297",734,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","Protoperidinium divergens"
"1232","ASV_4163",732,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","unassigned"
"34","ASV_175",728,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"42","ASV_226",726,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"224","ASV_852",718,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniaceae","Pentapharsodinium","s_"
"152","ASV_592",706,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","s_"
"1231","ASV_4159",706,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"1234","ASV_4170",696,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"20","ASV_106",655,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Heterocapsaceae","Heterocapsa","Heterocapsa rotundata"
"22","ASV_124",640,"Eukaryota","Dinoflagellata","Dinophyceae","Coccidiniales","Chytriodiniaceae","g_","s_"
"710","ASV_2446",639,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","unassigned"
"547","ASV_1953",636,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"564","ASV_2022",625,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","unassigned"
"234","ASV_882",617,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"1102","ASV_3633",600,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","unassigned"
"1258","ASV_4231",596,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"21","ASV_122",584,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","unassigned","unassigned","unassigned"
"14","ASV_92",580,"Eukaryota","Dinoflagellata","Dinophyceae","Pyrocystales","Pyrocystaceae","Dissodinium","Dissodinium pseudolunula"
"44","ASV_235",579,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"723","ASV_2500",575,"Eukaryota","Dinoflagellata","Dinophyceae","Gonyaulacales","Amphidomataceae","g_","s_"
"1273","ASV_4288",572,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"707","ASV_2434",570,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniaceae","Pentapharsodinium","Pentapharsodinium tyrrhenicum"
"1245","ASV_4192",566,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"198","ASV_766",563,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"1268","ASV_4263",562,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Kareniaceae","g_","s_"
"1251","ASV_4207",558,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"2355","ASV_9664",558,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"180","ASV_669",548,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniaceae","g_","s_"
"576","ASV_2057",547,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","unassigned","unassigned","unassigned"
"1048","ASV_3449",531,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"98","ASV_436",530,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"1217","ASV_4116",522,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","unassigned","unassigned","unassigned"
"1200","ASV_4073",511,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","g_","s_"
"40","ASV_216",510,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Kareniaceae","g_","s_"
"287","ASV_1066",505,"Eukaryota","Dinoflagellata","Dinophyceae","Prorocentrales","Prorocentraceae","g_","s_"
"314","ASV_1171",501,"Eukaryota","Dinoflagellata","Dinophyceae","Blastodiniales","unknown","Blastodinium","Blastodinium mangini"
"416","ASV_1532",501,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","g_","s_"
"11","ASV_82",498,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniaceae","Pentapharsodinium","unassigned"
"877","ASV_2959",496,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","s_"
"140","ASV_559",492,"Eukaryota","Dinoflagellata","Dinophyceae","Coccidiniales","Chytriodiniaceae","g_","s_"
"127","ASV_526",485,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"51","ASV_269",471,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"91","ASV_415",464,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"165","ASV_632",463,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"45","ASV_237",444,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","g_","s_"
"164","ASV_631",443,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"182","ASV_701",434,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniaceae","Pentapharsodinium","Pentapharsodinium tyrrhenicum"
"330","ASV_1235",423,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"84","ASV_386",420,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","unassigned"
"606","ASV_2126",412,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"1257","ASV_4218",410,"Eukaryota","Dinoflagellata","Dinophyceae","Prorocentrales","Prorocentraceae","g_","s_"
"85","ASV_393",408,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","s_"
"906","ASV_3042",406,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"31","ASV_162",403,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"907","ASV_3044",402,"Eukaryota","Dinoflagellata","Dinophyceae","Gonyaulacales","Gonyaulacaceae","g_","s_"
"1261","ASV_4235",401,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","s_"
"1280","ASV_4310",397,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"53","ASV_274",385,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","unassigned","unassigned","unassigned"
"1181","ASV_4043",382,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","g_","s_"
"116","ASV_500",378,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"978","ASV_3241",377,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","s_"
"1204","ASV_4083",376,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","g_","s_"
"1180","ASV_4042",374,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","s_"
"222","ASV_846",368,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"364","ASV_1348",365,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","unassigned"
"1219","ASV_4122",363,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","g_","s_"
"1287","ASV_4325",361,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"1301","ASV_4375",357,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","s_"
"1292","ASV_4346",354,"Eukaryota","Dinoflagellata","Dinophyceae","Suessiales","unknown","g_","s_"
"29","ASV_146",351,"Eukaryota","Dinoflagellata","Dinophyceae","unknown","unknown","unknown","s_"
"2366","ASV_9752",351,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"1290","ASV_4335",349,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"1269","ASV_4277",343,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","unassigned"
"689","ASV_2373",341,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"751","ASV_2580",341,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","unassigned","g_","s_"
"1285","ASV_4319",341,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","unassigned","unassigned","unassigned"
"1182","ASV_4044",339,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","s_"
"543","ASV_1944",338,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Kareniaceae","Karlodinium","s_"
"219","ASV_828",335,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"273","ASV_1010",334,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"1262","ASV_4237",333,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Kryptoperidiniaceae","g_","s_"
"1254","ASV_4215",332,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"82","ASV_383",330,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","g_","s_"
"97","ASV_435",329,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","g_","s_"
"1107","ASV_3652",326,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","g_","s_"
"295","ASV_1103",325,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"953","ASV_3181",321,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"1260","ASV_4234",320,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","s_"
"1316","ASV_4426",320,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","s_"
"1220","ASV_4123",316,"Eukaryota","Dinoflagellata","Dinophyceae","Coccidiniales","Chytriodiniaceae","g_","s_"
"774","ASV_2656",314,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","s_"
"322","ASV_1203",313,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"346","ASV_1298",310,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","s_"
"1295","ASV_4358",309,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniaceae","g_","s_"
"186","ASV_711",306,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","s_"
"601","ASV_2117",306,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"680","ASV_2347",305,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Kareniaceae","Karlodinium","s_"
"27","ASV_141",304,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"1207","ASV_4088",304,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","s_"
"196","ASV_764",301,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"1215","ASV_4110",296,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","g_","s_"
"1228","ASV_4151",295,"Eukaryota","Dinoflagellata","Dinophyceae","Blastodiniales","unknown","Blastodinium","unassigned"
"279","ASV_1037",293,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"1211","ASV_4101",289,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","s_"
"47","ASV_241",287,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","unassigned","unassigned","s_"
"179","ASV_668",287,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Kareniaceae","g_","s_"
"54","ASV_276",286,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Warnowiaceae","Warnowia","unassigned"
"74","ASV_354",284,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","unassigned"
"1249","ASV_4205",277,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Duboscquellidae","Duboscquella","unassigned"
"242","ASV_903",276,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"68","ASV_336",274,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"188","ASV_714",274,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"956","ASV_3189",273,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","s_"
"1239","ASV_4176",273,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"413","ASV_1507",272,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"1336","ASV_4515",270,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"324","ASV_1215",267,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","unassigned"
"386","ASV_1423",266,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"654","ASV_2267",265,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","unassigned","unassigned","s_"
"1236","ASV_4173",264,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","unassigned"
"135","ASV_543",263,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","unassigned","unassigned","unassigned"
"50","ASV_267",262,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","g_","s_"
"75","ASV_355",262,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","s_"
"549","ASV_1967",261,"Eukaryota","Dinoflagellata","Dinophyceae","Blastodiniales","unknown","g_","s_"
"647","ASV_2254",260,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","unassigned","unassigned","s_"
"1328","ASV_4473",260,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","unassigned","unassigned","unassigned"
"252","ASV_934",258,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","unassigned"
"866","ASV_2930",258,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","s_"
"194","ASV_750",256,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Eudubosquellidae","g_","s_"
"100","ASV_443",255,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Warnowiaceae","Warnowia","unassigned"
"266","ASV_983",254,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","s_"
