#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
d5bc61f90f231d15cad051d8195ce9e5	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 
958c0610086b133eecb413f68a86de72	Bacteria	 Planctomycetota	 Planctomycetes	 Pirellulales	 Pirellulaceae	 Rhodopirellula	 hydrothermal_vent
c18f0411a73d728e4ccf2b337c0a6d3b	Bacteria	 Proteobacteria	 Gammaproteobacteria	 HOC36	 HOC36	 HOC36	 Candidatus_Thioglobus
adaa6fdb4e5ef877c09e901ce0949636	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 uncultured_marine
99809e36665baf991305c4b998939a09	Bacteria	 	 	 	 	 	 
b95dd7293efa3e00ddaade8b04df91cd	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Rubritaleaceae	 Rubritalea	 uncultured_bacterium
0897e66cd35cdda02bc1df0f14cff91c	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 metagenome
cbd797e49a45acaedc5d0a4b01b94a38	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Saprospiraceae	 uncultured	 uncultured_Bacteroidetes
7b2894c3ec91865016a55cf486381fd8	Archaea	 Crenarchaeota	 Nitrososphaeria	 Nitrosopumilales	 Nitrosopumilaceae	 Candidatus_Nitrosopumilus	 uncultured_marine
ac940243ddc863efcd2273871bb30e6a	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Cellvibrionales	 Halieaceae	 OM60(NOR5)_clade	 
dcd1521a3b33b6abb50cb12d0868dd05	Bacteria	 Proteobacteria	 Alphaproteobacteria	 SAR11_clade	 Clade_I	 Clade_Ib	 
7003b34af4f6c3ac6e2cdb4a088c8469	Bacteria	 Bdellovibrionota	 Bdellovibrionia	 Bdellovibrionales	 Bdellovibrionaceae	 OM27_clade	 
2eaf8198627d1937c0cea8d8ceb07cd4	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 uncultured	 
595c565e0245ab0398a28c1eecf95678	Bacteria	 	 	 	 	 	 
dcdc93c94e1b3e5a0a893de717673f6c	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Arctic97B-4_marine_group	 Arctic97B-4_marine_group	 Arctic97B-4_marine_group	 marine_metagenome
b21a8ad25f0004562939bf69c64d1425	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	 Pseudohongiellaceae	 Pseudohongiella	 uncultured_marine
962eed6af66a6ecabbcefb5705799e51	Bacteria	 Proteobacteria	 Alphaproteobacteria	 	 	 	 
2ddb215ff668b6a24a9ccf2bb076a453	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Enterococcaceae	 Tetragenococcus	 Tetragenococcus_halophilus
10b6939ebe40d98df58fc07f92bba289	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Colwelliaceae	 Colwellia	 
7548fbaec85e1a3ac972463827d350f1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Ectothiorhodospirales	 Ectothiorhodospiraceae	 uncultured	 
b6d0bf405b513e28244fa91c1fff42b5	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Saprospiraceae	 	 
21071b0a8311422d7351e01369238ff5	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 hydrothermal_vent
df87528e9a8d1e1d82455310d365497b	Bacteria	 	 	 	 	 	 
c080e73af2fa49c80d4772c525db8d40	Bacteria	 Proteobacteria	 Alphaproteobacteria	 SAR11_clade	 Clade_I	 Clade_Ia	 
d6a87163db4f4ddfab6f8f63e29f7b02	Bacteria	 Bdellovibrionota	 Bdellovibrionia	 Bacteriovoracales	 Bacteriovoracaceae	 Peredibacter	 uncultured_Peredibacter
57f316f2b8bb8cd1fcfdfe2c557148f0	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae	 RS62_marine_group	 
9879a750c4dcbe94271efc3a64a8dcc6	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Puniceispirillales	 uncultured	 uncultured	 uncultured_Rhodospirillaceae
0920dcf0f62fb2b3ab9e32f1c4edec37	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae	 	 
33ca154110a1ee15fd8f75cc365eeef5	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Opitutales	 Puniceicoccaceae	 Verruc-01	 Verrucomicrobia_bacterium
c6c422e7937936cc8b3aa5a8b979de90	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Alteromonadaceae	 Paraglaciecola	 
4ccb46f77755a20605a88de40272b7eb	Bacteria	 Verrucomicrobiota	 Chlamydiae	 Chlamydiales	 	 	 
1c80ebd46f2e85a84307161e7d654edf	Bacteria	 Proteobacteria	 	 	 	 	 
caa80f7f1b9daf7475a3743f64991188	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Blautia	 
4c79b7bb4aefde82f8e53443989a883c	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 AEGEAN-169_marine_group	 AEGEAN-169_marine_group	 uncultured_bacterium
3a71b16155fdad56882f5e0c73b56ff9	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Marinifilaceae	 uncultured	 uncultured_marine
463ae653585ef940474d70c08be64fc2	Bacteria	 Myxococcota	 Myxococcia	 Myxococcales	 Myxococcaceae	 P3OB-42	 
b1c671dde7f6e801af6fd0b3085cb475	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 	 
de416918e9cf4c7992fe6c91c1c5e801	Bacteria	 Acidobacteriota	 Thermoanaerobaculia	 Thermoanaerobaculales	 Thermoanaerobaculaceae	 Subgroup_23	 uncultured_bacterium
0dcd6e1e2bacbceb212f6ffed221280d	Bacteria	 Deinococcota	 Deinococci	 Deinococcales	 Trueperaceae	 Truepera	 uncultured_bacterium
0ee17acea997e093c1e319ed06302394	Bacteria	 Verrucomicrobiota	 Kiritimatiellae	 WCHB1-41	 WCHB1-41	 WCHB1-41	 uncultured_bacterium
b18b0e3d39306eb0d8668fd6719639f1	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae	 NS5_marine_group	 uncultured_Flavobacterium
ff7f78f6f16c16c927617a0387db5a0b	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Arenicellales	 Arenicellaceae	 uncultured	 uncultured_gamma
eb31a5372c2f4528ea8001cab728a1c8	Bacteria	 	 	 	 	 	 
04bd47febe17700cbb8dd393f1899690	Bacteria	 Proteobacteria	 Alphaproteobacteria	 SAR11_clade	 Clade_II	 Clade_II	 
0f28227d6df0a3a2fdd378c70c4b3b78	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	 Pseudohongiellaceae	 Pseudohongiella	 uncultured_bacterium
1317283f24a9364668355ed84116aab2	Bacteria	 PAUC34f	 PAUC34f	 PAUC34f	 PAUC34f	 PAUC34f	 
3bba9d9b5ee83b2597dbbd0830be8416	Bacteria	 Verrucomicrobiota	 Chlamydiae	 Chlamydiales	 Simkaniaceae	 uncultured	 uncultured_Chlamydiae
ca7cd1dc3ae4b5be9086862df54e5ebf	Bacteria	 SAR324_clade(Marine_group_B)	 SAR324_clade(Marine_group_B)	 SAR324_clade(Marine_group_B)	 SAR324_clade(Marine_group_B)	 SAR324_clade(Marine_group_B)	 
a8938cb2311a91ad93a2bb377ba1c74c	Bacteria	 Nitrospinota	 Nitrospinia	 Nitrospinales	 Nitrospinaceae	 LS-NOB	 
afcec5d824aaa0f0aacc83a07dadf3de	Bacteria	 	 	 	 	 	 
a6905f293d92223e65dd6e1631fc40e8	Bacteria	 	 	 	 	 	 
a13f1544bc021169c35a69a87704723b	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Puniceispirillales	 SAR116_clade	 SAR116_clade	 
2c0b1d66e29c6cfc0567a282ede8243b	Archaea	 Crenarchaeota	 Nitrososphaeria	 Nitrosopumilales	 Nitrosopumilaceae	 Candidatus_Nitrosopelagicus	 
dc43ea65ed6f4442af1eab39e935e096	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales	 	 	 
0dd9511a37bce9448e985c6d38274a63	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales	 Cyclobacteriaceae	 uncultured	 uncultured_sediment
23c4f9b98e2765c4a24a68d86fd94c10	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Puniceispirillales	 SAR116_clade	 SAR116_clade	 alpha_proteobacterium
13bfbe035d4afd772a36eb36a3175948	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Synechococcales	 Cyanobiaceae	 Synechococcus_CC9902	 
a3f6b99ab52d1db07de6ec41d3e24a5f	Bacteria	 Proteobacteria	 	 	 	 	 
1eeb9e1d62d9712626314922dc905a42	Bacteria	 Proteobacteria	 Gammaproteobacteria	 SAR86_clade	 SAR86_clade	 SAR86_clade	 
5fa36bf0aa2381ae4e5d0d1b7fd2f2d3	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 
94bfad3e19f39e90f45f263b0a6a53dd	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 uncultured_marine
0ef1a882f080365dd966cf1ca0f4a539	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Magnetospiraceae	 uncultured	 
23cf17adc9e53794047e74c2ff18d9f2	Bacteria	 Planctomycetota	 Planctomycetes	 Planctomycetales	 Gimesiaceae	 uncultured	 uncultured_bacterium
540987744fea967d3b554deb7492c226	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 
9dc2716611a032ec1e5fc183d872c332	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Terasakiellaceae	 Terasakiella	 
f4c2587bbaa6e03cd0452af030d28bb5	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	 Prevotella_bivia
5c179317322c2fe5bb39c10df122cec3	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Crocinitomicaceae	 Crocinitomix	 uncultured_bacterium
c9fba1d576e395fa2ce56a01302667d0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 AEGEAN-169_marine_group	 AEGEAN-169_marine_group	 uncultured_bacterium
f4bceeae772fe5d1c10e76993f2775fa	Bacteria	 Proteobacteria	 Gammaproteobacteria	 AT-s2-59	 AT-s2-59	 AT-s2-59	 
abf3267b00632714e87826b1974ddd07	Bacteria	 Campilobacterota	 Campylobacteria	 Campylobacterales	 Arcobacteraceae	 	 
b5bb5ec0dd2107266c05a973c1edaa98	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Puniceispirillales	 EF100-94H03	 EF100-94H03	 uncultured_Alphaproteobacteria
5afa684a18c90c57a2bb0295172d6776	Bacteria	 Bdellovibrionota	 Bdellovibrionia	 Bdellovibrionales	 Bdellovibrionaceae	 OM27_clade	 uncultured_marine
fb2dab56bf8047ade734c2fceccb49e4	Bacteria	 Proteobacteria	 Alphaproteobacteria	 SAR11_clade	 Clade_III	 Clade_III	 
196b5777d03f2409e852c7c419d98db6	Bacteria	 	 	 	 	 	 
4d5ea57ba7338b0aca057fb93a24b82b	Bacteria	 Planctomycetota	 Planctomycetes	 Pirellulales	 Pirellulaceae	 Blastopirellula	 
e96a18c7e3d537fc5fcb8f8ed70414c9	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 	 
e1f84b95f27e32f9a66f00f94ee6e371	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 uncultured_bacterium
29a11e1d487bea252de1cbfd26d791ee	Bacteria	 Verrucomicrobiota	 Lentisphaeria	 Lentisphaerales	 Lentisphaeraceae	 Lentisphaera	 uncultured_Lentisphaerae
c6c7b4c503695093de77a7e7f3227272	Bacteria	 	 	 	 	 	 
15be7172c5442dad250930877f752cc4	Bacteria	 Acidobacteriota	 Vicinamibacteria	 Vicinamibacterales	 uncultured	 uncultured	 uncultured_bacterium
4cbfff144d4e7a4e0f4619ed505be070	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 	 
570d6e84712f91e14a1cbf804555cd60	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Fokiniaceae	 MD3-55	 
516a67156dacfa4341327a7e2a22f877	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Geobacillus	 
5be030efafb96ccec2963989111759d1	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae	 Ulvibacter	 uncultured_marine
737ab7a3bbd661efa76e3bb63d4009b1	Bacteria	 	 	 	 	 	 
4f21dd9edee3be8185926ab127f7f82c	Bacteria	 Planctomycetota	 Phycisphaerae	 MSBL9	 SG8-4	 SG8-4	 uncultured_Planctomyces
d7f36e6380bf5fc00a34c85fc3da271e	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 AEGEAN-169_marine_group	 AEGEAN-169_marine_group	 uncultured_bacterium
e7854224485f98bcc1fa8a2d06253d94	Bacteria	 	 	 	 	 	 
0166d954fcdac0001c41f8c3c74f2df0	Bacteria	 Planctomycetota	 Phycisphaerae	 Phycisphaerales	 Phycisphaeraceae	 FS140-16B-02_marine_group	 uncultured_bacterium
11356bd547f14cfc83d5ebde981a0498	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Crocinitomicaceae	 Crocinitomix	 uncultured_bacterium
0000d1a50f0c9ae122d1b45df38c4638	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 unidentified_marine
3b39160a1977e7fed9c024941ba70b89	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 NS9_marine_group	 NS9_marine_group	 uncultured_marine
ef76f54cada487c1789a1c64848a98c7	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Gammaproteobacteria_Incertae_Sedis	 Unknown_Family	 Unknown_Family	 uncultured_marine
e64186bfd4deab77f2f05d228c21395a	Bacteria	 	 	 	 	 	 
7f40e02feac415a4517d9af9bab05e98	Bacteria	 Bdellovibrionota	 Oligoflexia	 Oligoflexales	 uncultured	 uncultured	 uncultured_bacterium
64fa8f44af48a77d3c4a6533c6d78058	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Colwelliaceae	 Thalassotalea	 
96418fc5f8b94899f02bf8af454c78ba	Bacteria	 	 	 	 	 	 
87ce7a7fdad6dffbf20b566e8b595f0e	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 AB1	 AB1	 
a6145a6964185a51baede5b3d825cb6c	Bacteria	 Bdellovibrionota	 Bdellovibrionia	 Bdellovibrionales	 Bdellovibrionaceae	 OM27_clade	 uncultured_marine
f7e5469cecf7a1d8991d712bb8b8f97d	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Saprospiraceae	 uncultured	 uncultured_marine
b5fb6e9c3785568e3575a0c5da9d4257	Bacteria	 	 	 	 	 	 
fe465d1b371b375285b5656bc06bafb7	Bacteria	 Margulisbacteria	 Margulisbacteria	 Margulisbacteria	 Margulisbacteria	 Margulisbacteria	 uncultured_bacterium
ed6bdc7fa0a9e6508e45c9cf7b3c9fb5	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 AEGEAN-169_marine_group	 AEGEAN-169_marine_group	 uncultured_bacterium
9486233e60300dde1d419bc6b15bbf53	Bacteria	 Bdellovibrionota	 Bdellovibrionia	 Bdellovibrionales	 Bdellovibrionaceae	 OM27_clade	 uncultured_marine
5a7d3a14c677824ab170e289e44ae3e4	Bacteria	 Bdellovibrionota	 Bdellovibrionia	 Bacteriovoracales	 Bacteriovoracaceae	 Peredibacter	 
138627b94060267b04e6feaeb11f5c64	Archaea	 Crenarchaeota	 Nitrososphaeria	 Nitrosopumilales	 Nitrosopumilaceae	 Nitrosopumilaceae	 
95eb5b658eb4216b0c678774373f8c01	Archaea	 Crenarchaeota	 Nitrososphaeria	 Nitrosopumilales	 Nitrosopumilaceae	 Nitrosopumilaceae	 uncultured_marine
48db331b1a44b88702a0c584f4d51685	Bacteria	 Proteobacteria	 Gammaproteobacteria	 	 	 	 
5891c3b6eec84facda316068dcfb6943	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Magnetospiraceae	 uncultured	 uncultured_bacterium
38379288db02e084c195974a32fd0290	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Moritellaceae	 Moritella	 
abd5f1fa8719656e2a17b7a190d75593	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 S25-593	 S25-593	 uncultured_marine
7c0a04e73478b9f0e1e052d88306741d	Bacteria	 Hydrogenedentes	 Hydrogenedentia	 Hydrogenedentiales	 Hydrogenedensaceae	 Hydrogenedensaceae	 uncultured_bacterium
c1d9eada909d2d5dbe078f25f1038508	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae	 	 
cd002152232eadb3df23a501a728cd23	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Puniceispirillales	 SAR116_clade	 SAR116_clade	 
ce34904a9c76397224328e6c6290b5dc	Bacteria	 Proteobacteria	 Gammaproteobacteria	 	 	 	 
76b02adb53f6c38da2c192e4b0c5bf3f	Bacteria	 Proteobacteria	 Gammaproteobacteria	 EPR3968-O8a-Bc78	 EPR3968-O8a-Bc78	 EPR3968-O8a-Bc78	 uncultured_bacterium
e210617a9427b305739b909516894c06	Archaea	 Nanoarchaeota	 Nanoarchaeia	 Woesearchaeales	 Woesearchaeales	 Woesearchaeales	 
00a96fbd0ac34bfd245f9c24f8737f7d	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Blautia	 
d61c52495ffa16b7fd725d2f0ef1ae19	Bacteria	 Chloroflexi	 Dehalococcoidia	 SAR202_clade	 SAR202_clade	 SAR202_clade	 hydrothermal_vent
e0365389e171fe077fbda66f90392a45	Bacteria	 Fibrobacterota	 Chitinivibrionia	 Chitinivibrionales	 Chitinivibrionaceae	 possible_genus_03	 uncultured_bacterium
0c6284304579566b85a2d3be1755dfbc	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	 Nitrincolaceae	 uncultured	 uncultured_bacterium
543de954b60ed6837b9a1ef045912b33	Bacteria	 Planctomycetota	 Phycisphaerae	 Phycisphaerales	 Phycisphaeraceae	 FS140-16B-02_marine_group	 uncultured_bacterium
33f4effddf21ded3d40bd0451f7d5150	Bacteria	 	 	 	 	 	 
e17f38158d565cb2954a552a70a98423	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Altererythrobacter	 Altererythrobacter_namhicola
f19fda84a12829f2d6033c22da243230	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	 Nitrincolaceae	 uncultured	 uncultured_marine
5fb1150d85d178d0aa27fa34ed1efc9d	Bacteria	 Patescibacteria	 Gracilibacteria	 Candidatus_Peregrinibacteria	 Candidatus_Peregrinibacteria	 Candidatus_Peregrinibacteria	 uncultured_bacterium
065731dc70ca2e0ae56177f7be27e398	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	 Oleiphilaceae	 Oleiphilus	 
1b205c232dfef8f68dc573d522fe517f	Bacteria	 Proteobacteria	 Gammaproteobacteria	 SAR86_clade	 SAR86_clade	 SAR86_clade	 uncultured_bacterium
e6eda78c7742d9384ad90a2db9203ce8	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Ga0077536	 Ga0077536	 Ga0077536	 uncultured_bacterium
745c255b786d66e3caea89b128f558da	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Rubritaleaceae	 Roseibacillus	 uncultured_verrucomicrobium
d62d30b345ff919dc0b96c3025a6c771	Bacteria	 Verrucomicrobiota	 Chlamydiae	 Chlamydiales	 Simkaniaceae	 uncultured	 
443129441947173cea9acfcb47cb28ca	Bacteria	 Planctomycetota	 OM190	 OM190	 OM190	 OM190	 uncultured_planctomycete
6dd62fbc2ccae6b257ceb97961eb1a4d	Bacteria	 Planctomycetota	 Planctomycetes	 Pirellulales	 Pirellulaceae	 Rubripirellula	 uncultured_bacterium
dcb1ca4a0db5a85e57729d7594aa715e	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales	 Cyclobacteriaceae	 uncultured	 uncultured_bacterium
28d2a54d13c4745662ad2257ae5ab056	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Cryomorphaceae	 uncultured	 
308e168114ca669d33f49a246a7a29d4	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Gammaproteobacteria_Incertae_Sedis	 Unknown_Family	 Candidatus_Berkiella	 uncultured_bacterium
